Word,num_rhymes_full_elp,num_rhymes_1000_coca,num_rhymes_2500_coca,num_rhymes_5000_coca,num_rhymes_10000_coca,Ortho_N,Phono_N,Phono_N_H,OG_N,OLD,OLDF,PLD,PLDF,BG_Mean,I_Mean_RT,I_Zscore,I_SD,I_Mean_Accuracy,I_NMG_Mean_RT,I_NMG_Zscore,I_NMG_SD,I_NMG_Mean_Accuracy
aah,34,0,0,0,0,8,0,0,0,1.85,9.1,3,8.58,132,816.43,0.21,186.03,0.62,646.4,-0.35,130.45,0.93
aback,36,0,0,0,0,2,3,3,1,1.95,7.74,1.85,8.26,2144.75,796.27,0.11,171.61,0.45,596.54,-0.55,89.45,0.96
abacus,0,0,0,0,0,0,0,0,0,2.9,7.39,2.9,6.66,2172.6,964.4,0.65,489,0.47,792.69,0.31,200.19,0.62
abandon,2,0,0,0,1,0,0,0,0,2.9,7.45,2.45,6.97,3957,695.72,-0.31,220.41,0.97,623.96,-0.52,98.25,1
abandoned,0,0,0,0,0,0,1,1,0,3.55,6.33,2.6,6.72,4623.88,860.77,-0.09,447.56,0.91,635.16,-0.49,101.65,1
abandoning,0,0,0,0,0,0,0,0,0,3.7,6.96,3.3,6.59,5584.33,740.55,-0.11,288.44,1,782.78,0.06,218.57,0.92
abandonment,0,0,0,0,0,0,0,0,0,4.4,5.76,4.45,6.6,3980.8,771.09,0,229.53,1,794.7,0.21,256.3,0.96
abash,24,0,0,0,0,2,1,1,0,1.8,7.34,1.9,8.18,2359.25,748.71,0.23,194.37,0.68,594.43,-0.72,99.57,0.97
abate,77,0,0,0,0,2,6,6,1,1.85,7.47,1.7,7.79,5121,719.54,-0.09,180.88,0.71,668.39,-0.31,201.54,1
abated,38,0,0,0,0,2,3,3,0,1.95,6.79,1.85,6.97,5713.6,894.23,0.45,289.82,0.69,693.28,-0.16,172.49,0.96
abbey,6,0,0,0,0,1,7,7,0,2.15,7.17,1.55,8.2,1236.25,726.19,-0.1,235.91,0.66,682.57,-0.16,152.26,0.92
abbot,5,0,0,0,0,0,3,7,0,2.35,7.68,1.85,8.34,1494,808.58,0.21,268.65,0.71,750.13,0.04,167.89,0.82
abbreviate,2,0,0,0,0,0,0,0,0,4.05,6,3.7,6.39,3716.44,795.03,0.16,316.55,0.94,708.44,-0.09,156.29,0.96
abbreviated,2,0,0,0,0,1,0,0,0,4.2,6.25,4.15,6.46,4153.2,698.45,-0.25,170.37,0.94,695.63,-0.26,201.23,1
abbreviation,657,0,0,0,0,0,0,0,0,4,6.28,3.8,6.76,4240.91,728.91,-0.02,163.59,1,714.93,-0.04,149.43,1
abbreviations,264,0,0,0,0,0,0,0,0,4.35,6.52,4.1,6.73,4231.67,729.13,-0.12,218.3,0.91,689.48,-0.11,150.88,1
abdicate,0,0,0,0,0,0,0,0,0,2.8,6.43,2.85,5.82,4400.14,1056,0.84,475.66,0.56,819.91,0.41,239.44,0.85
abdomen,8,0,0,0,1,0,0,0,0,3,6.39,3,6.09,2679.83,813.43,0.03,315.23,0.88,758.67,-0.02,317.23,0.96
abdominal,2,0,0,0,1,0,0,0,0,3.75,6.11,4,6.66,3951.25,715.55,-0.13,191.24,0.94,737.76,0.05,173.61,0.88
abduct,18,0,0,0,0,0,0,0,0,2.5,7.66,2.55,7.19,1090.6,769.67,0.03,251.22,0.88,707.81,-0.21,285.9,1
abduction,14,0,0,0,0,0,0,0,0,2.7,7.88,2.65,7.54,3400.25,795.88,0.01,245.03,0.94,667.38,-0.32,138.12,0.93
abed,45,0,0,0,0,7,4,4,1,1.7,7.61,1.8,8.11,3989.67,887.5,0.5,319.02,0.29,634.5,-0.4,163.65,0.93
aberrant,5,0,0,0,0,0,0,0,0,3.25,6.59,2.75,6.62,5265,955.38,0.55,487.31,0.38,818.76,0.3,242.1,0.75
aberration,657,0,0,0,0,0,0,0,0,2.85,6.56,2.55,6.67,6020.22,946.55,0.51,332.94,0.63,882.48,0.69,268.79,1
aberrations,264,0,0,0,0,0,0,0,0,3.4,6.5,2.85,6.63,5831.2,1005.37,0.94,412.32,0.58,829.63,0.45,223.19,0.89
abet,70,0,0,0,0,4,4,4,2,1.75,8.78,1.8,8.5,2291,792,0.37,221.47,0.32,619.14,-0.34,130.37,0.81
abetted,10,0,0,0,0,0,2,2,0,2.35,6.44,1.9,6.56,4177.33,998.5,0.71,372.52,0.53,654.63,-0.32,150.42,0.86
abeyance,1,0,0,0,0,0,1,1,0,3.4,7.06,2.95,6.91,2463.29,914,0.22,179.38,0.13,889.75,0.68,285.69,0.6
abhor,68,0,0,0,0,0,0,0,0,2.3,7.67,2.3,7.67,2377.5,786.15,0.12,184.4,0.57,789,0.12,198.83,0.81
abhorred,40,0,0,0,0,0,1,1,0,2.9,6.49,2.15,8.06,3859.57,798.44,0.41,154.4,0.56,791.88,0.16,215.48,0.65
abhorrent,2,0,0,0,0,0,1,1,0,3.65,6.31,2.95,6.39,3935.38,794.15,0.25,203.55,0.41,781.32,0.31,195.15,0.7
abide,72,0,0,0,30,3,3,3,2,1.7,7.77,1.85,8.24,2445,773.21,-0.18,276.41,0.94,633.83,-0.3,145.25,1
abides,30,0,0,0,0,3,2,2,2,1.9,7.15,1.95,7.6,4503.2,750.63,-0.05,221.05,0.82,696.22,-0.29,187.42,1
abiding,18,0,0,0,0,0,3,3,0,2.15,7.33,1.95,8.03,5333,784.67,0.05,243.05,0.82,620.16,-0.36,99.42,0.96
abilities,1,0,0,0,0,0,0,0,0,2.95,6.45,2.75,6.39,5301,657.06,-0.49,257.54,0.97,711.81,-0.14,154.38,0.96
ability,3,0,1,1,2,1,1,1,1,2.3,6.38,2.3,6.42,2887.5,619.68,-0.48,186.54,0.97,583.04,-0.72,82.31,1
abject,0,0,0,0,0,1,0,0,0,2.35,7.95,2.75,7.45,1303,692.67,0.07,162.77,0.28,768.38,0.11,215.74,0.93
ablaze,87,0,0,0,0,0,0,0,0,2.25,7.21,1.95,6.72,1945.4,740.73,0.15,175.11,0.65,644.36,-0.22,172.52,0.93
able,15,1,5,6,7,3,3,6,0,1.5,7.61,1.55,7.81,3570.33,623.3,-0.5,214.58,1,628.21,-0.6,198.35,1
ably,0,0,0,0,0,2,1,1,0,1.9,8.01,1.9,8.24,2659,796.14,0.14,297.96,0.42,773.83,0.33,234.52,0.86
abnormal,4,0,0,0,3,0,0,0,0,3.1,6.88,3.35,7.23,2755,684.91,-0.19,234.31,1,673.38,-0.31,223.4,1
abnormalities,6,0,0,0,0,0,0,0,0,4.6,5.57,5.2,5.35,4609.92,898.37,0.26,266.69,0.91,724.48,0.21,194.74,1
abnormality,30,0,0,0,0,0,0,0,0,3.6,6.07,4.45,5.8,3023.6,781.44,0.03,273.6,1,671.48,-0.31,178.42,0.93
abnormally,3,0,0,0,0,0,0,0,0,3.5,6.55,3.55,7.14,3006,843.26,0.02,402.4,0.97,639.04,-0.29,132.36,0.96
aboard,40,0,0,11,13,1,5,5,0,2.3,7.4,1.6,8.08,2360.8,628.16,-0.52,220.02,0.94,654.87,-0.48,233.89,0.88
